product_id,title,url,city,district,ward,street,full_address,price_total,price_per_m2,area,frontage,road_width,bedrooms,bathrooms,floors,direction,interior,legal_status,post_rank,price_trend_1y,has_elevator,near_park,is_frontage_road,description,posted_date,expiry_date,property_type
44916425,"Bán lô góc hoa hậu đường 21m, sầm uất nhất KĐT mới Đại Kim kinh doanh xuất sắc. LH: 0986 786 ***",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nghiem-xuan-yem-phuong-dai-kim-khu-do-thi-dai-kim/ban-lo-goc-hoa-hau-21m-sam-uat-nhat-kdt-moi-kinh-doanh-xuat-sac-lh-pr44916425,Hà Nội,Quận Hoàng Mai,Phường Đại Kim,Đường Nghiêm Xuân Yêm,"Khu đô thị Đại Kim, Đường Nghiêm Xuân Yêm, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",71900.0,71.9,138.7,,,6.0,6.0,5,Đông - Bắc,Đầy đủ,Sổ đỏ/ Sổ hồng,Tin thường,13.2,True,False,False,"Chính chủ gửi bán lô góc hoa hậu hiếm có đường 21m trục chính dự án KĐT mới Đại Kim.
- Vị trí quá đẹp: Cạnh ĐH Thăng Long, Ngôi sao Hoàng Mai, Dwight School, liên thông 2 KĐT Vinaconex, Kim văn Kim lũ và KĐT mới Đại Kim. Nhà đối diện trường học, cạnh khu chung cư cao cấp CT4 Đại Kim đang triển khai tích cực, tiềm năng kinh doanh quá lớn, đặc biệt ít người bán.
- Diện tích lô góc: 138,7m² hoàn thiện 5 tầng 1 tum có thang máy.
- Đang cho thuê kinh doanh cafe và văn phòng hợp đồng dài hạn: 80tr/tháng.
- Giá mong muốn: 71,9 tỷ. (Có TL).
- Liên hệ xem nhà Mr. Quân: 0986 786 *** .",2026-04-18,2026-05-03,land
45524183,"Bán Lô BT đơn lập góc 345m tại Sunny Garden City, trục chính kinh doanh, sẵn HĐ thuê. LH 0981 669 ***",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-sai-son-sunny-garden-city/ban-lo-bt-on-lap-goc-345m-tai-truc-chinh-kinh-doanh-san-h-thue-lh-pr45524183,Hà Nội,Huyện Quốc Oai,Xã Sài Sơn,,"Sunny Garden City, Xã Sài Sơn, Huyện Quốc Oai, Hà Nội",125000.0,125.0,345.0,15.0,20.0,,,4,Tây - Nam,Cơ bản,Sổ đỏ/ Sổ hồng,Tin thường,30.4,False,False,False,"Chính chủ gửi bán độc quyền lô đơn lập góc 345m² tại Sunny Garden City, sẵn hợp đồng thuê 27 triệu/tháng, vừa để ở vừa để kinh doanh cực tốt.
- Diện tích đất: Lô góc 345m², 2 mặt (1 mặt dự án, 1 mặt đường đôi kinh doanh).
- Nhà đã hoàn thiện cơ bản.
- Nhà đẹp lung linh, sổ đỏ trao tay, công chứng trong ngày.
- Giá bán: 125 triệu/m² (Thiện chí thương lượng thoải mái). Em Huy Hoàng QLDA Sunny Garden City: 0981 669 *** (Gọi điện/Zalo chính chủ).
- Chuyên Sunny Garden City từ thời mở bán tới giờ.
- Hỗ trợ mọi thủ tục từ A - Z.",2026-04-25,2026-05-10,land
44764531,"Hàng lớn sót lại: 2 mặt tiền Lê Trọng Tấn 30x50m, vuông đẹp, công nhận gần 1500m2 đất thổ cư 100%",https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-trong-tan-phuong-son-ky-70/hang-lon-sot-lai-2-tien-30x50m-vuong-dep-cong-nhan-gan-1500m2-dat-tho-cu-100-pr44764531,Hồ Chí Minh,Quận Tân Phú,Phường Sơn Kỳ,Đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Sơn Kỳ, Quận Tân Phú, Hồ Chí Minh",125000.0,125.0,1464.6,,30.0,1.0,1.0,1,,,Sổ đỏ/ Sổ hồng.,Tin thường,20.0,False,False,False,"Chính chủ cần bán nhà 2 mặt tiền trước sau đường Lê Trọng Tấn, Phường Sơn Kỳ, Tân Phú.
- DT: 30x50m, công nhận gần 1500m² đất thổ cư 100%.
- Hiện trạng: Cấp 4 nát tiện xây dựng mới, CTXD: Hầm 10 tầng.
- Đường lớn 30m có lề rộng, mặt sau đường 12m.
- Trục chính liên quận, phù hợp xây toà Building.
- Sổ hồng riêng, pháp lí rõ ràng.
- Giá: 125 tỷ TL trực tiếp. LH: 0938 161 *** - Khương Tân.
- Thông tin và",2026-04-24,2026-05-09,land
